,_unit_id,airline_sentiment,text
0,681448150,neutral,USER-MENTION what USER-MENTION said.
1,681448153,positive,USER-MENTION plus you've added commercials to the experience tacky.
2,681448156,neutral,USER-MENTION i didn't today must mean i need to take another trip!
3,681448158,negative,"USER-MENTION it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse"
4,681448159,negative,USER-MENTION and it's a really big bad thing about it
5,681448162,negative,USER-MENTION seriously would pay $30 a flight for seats that didn't have this playing. it's really the only bad thing about flying va
6,681448165,positive,"USER-MENTION yes, nearly every time i fly vx this ear worm won t go away emo-pos"
7,681448167,neutral,"USER-MENTION really missed a prime opportunity for men without hats parody, there. URL"
8,681448169,positive,"USER-MENTION well, i didn't but now i do! emo-pos"
9,681448171,positive,"USER-MENTION it was amazing, and arrived an hour early. you're too good to me."
10,681448174,neutral,USER-MENTION did you know that suicide is the second leading cause of death among teens 10-24
11,681448176,positive,USER-MENTION i &lt;3 pretty graphics. so much better than minimal iconography. emo-pos
12,681448178,positive,USER-MENTION this is such a great deal! already thinking about my 2nd trip to USER-MENTION &amp; i haven't even gone on my 1st trip yet! ;p
13,681448181,positive,USER-MENTION USER-MENTION i'm flying your fabulous seductive skies again! u take all the stress away from travel URL
14,681448182,positive,USER-MENTION thanks!
15,681448184,negative,USER-MENTION sfo-pdx schedule is still mia.
16,681448186,positive,USER-MENTION so excited for my first cross country flight lax to mco i've heard nothing but great things about virgin america. 29daystogo
17,681448188,negative,USER-MENTION i flew from nyc to sfo last week and couldn't fully sit in my seat due to two large gentleman on either side of me. help!
18,681448190,positive,i flying USER-MENTION
19,681448192,positive,USER-MENTION you know what would be amazingly awesome? bos-fll please!!!!!!! i want to fly with only you.
20,681448194,negative,USER-MENTION why are your first fares in may over three times more than other carriers when all seats are available to select???
21,681448197,positive,USER-MENTION i love this graphic. URL
22,681448199,positive,USER-MENTION i love the hipster innovation. you are a feel good brand.
23,681448201,neutral,USER-MENTION will you be making bos&gt;las non stop permanently anytime soon?
24,681448204,negative,USER-MENTION you guys messed up my seating i reserved seating with my friends and you guys gave my seat away i want free internet
25,681448206,negative,USER-MENTION status match program. i applied and it's been three weeks. called and emailed with no response.
26,681448208,negative,USER-MENTION what happened 2 ur vegan food options?! at least say on ur site so i know i won't be able 2 eat anything for next 6 hrs fail
27,681448211,neutral,USER-MENTION do you miss me? don't worry we'll be together very soon.
28,681448213,negative,USER-MENTION amazing to me that we can't get any cold air from the vents. vx358 noair worstflightever roasted sfotobos
29,681448214,neutral,USER-MENTION lax to ewr - middle seat on a red eye. such a noob maneuver. sendambien andchexmix
30,681448218,negative,"USER-MENTION hi! i just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during flight booking problems"
31,681448221,neutral,USER-MENTION are the hours of operation for the club at sfo that are posted online current?
32,681448223,negative,"USER-MENTION help, left expensive headphones on flight 89 iad to lax today. seat 2a. no one answering l&amp;f number at lax!"
33,681448225,negative,"USER-MENTION awaiting my return phone call, just would prefer to use your online self-service option emo-neg"
34,681448228,positive,USER-MENTION this is great news! america could start flights to hawaii by end of year URL via USER-MENTION
35,681448230,neutral,nice USER-MENTION vibe with the moodlight from takeoff to touchdown. moodlitmonday sciencebehindtheexperience URL
36,681448235,positive,USER-MENTION moodlighting is the only way to fly! best experience ever! cool and calming. moodlitmonday
37,681448239,positive,"USER-MENTION USER-MENTION done and done! best airline around, hands down!"
38,681448241,neutral,USER-MENTION when can i book my flight to hawaii??
39,681448243,negative,USER-MENTION your chat support is not working on your site: URL
40,681448245,positive,"USER-MENTION view of downtown los angeles, the hollywood sign, and beyond that rain in the mountains! URL"
41,681448247,negative,"USER-MENTION hey, first time flyer next week - excited! but i'm having a hard time getting my flights added to my elevate account. help?"
42,681448249,neutral,USER-MENTION plz help me win my bid upgrade for my flight 2/27 lax---&gt;sea!!!
43,681448251,neutral,USER-MENTION i have an unused ticket but moved to a new city where you don't fly. how can i fly with you before it expires? travelhelp
44,681448254,neutral,USER-MENTION are flights leaving dallas for seattle on time feb 24?
45,681448256,positive,USER-MENTION i'm elevategold for a good reason: you rock!!
46,681448258,neutral,USER-MENTION dream URL URL
47,681448260,positive,USER-MENTION wow this just blew my mind
48,681448262,neutral,USER-MENTION USER-MENTION USER-MENTION after last night tribute soundofmusic oscars2015 USER-MENTION i think USER-MENTION agree
49,681448264,neutral,USER-MENTION USER-MENTION USER-MENTION all were entertaining
50,681448265,neutral,"USER-MENTION is flight 769 on it's way? was supposed to take off 30 minutes ago. website still shows ""on time"" not ""in flight"". thanks."
51,681448267,positive,USER-MENTION USER-MENTION USER-MENTION julie andrews all the way though USER-MENTION was very impressive! no to USER-MENTION
52,681448269,neutral,USER-MENTION wish you flew out of atlanta soon?
53,681448271,neutral,USER-MENTION USER-MENTION USER-MENTION julie andrews. hands down.
54,681448273,neutral,USER-MENTION will flights be leaving dallas for la on february 24th?
55,681448275,negative,USER-MENTION hi! i'm so excited about your $99 lga-&gt;dal deal- but i've been trying 2 book since last week &amp; the page never loads. thx!
56,681448278,positive,USER-MENTION you know it. need it on my spotify stat guiltypleasures
57,681448280,positive,USER-MENTION USER-MENTION USER-MENTION i'm lady gaga!!! she is amazing!
58,681448282,neutral,USER-MENTION USER-MENTION USER-MENTION - carrie!
59,681448284,neutral,USER-MENTION new marketing song? URL let us know what you think?
60,681448288,neutral,USER-MENTION USER-MENTION USER-MENTION julie andrews first but lady gaga wow'd me last night. carrie? meh.
61,681448290,negative,USER-MENTION i called a 3-4 weeks ago about adding 3 flights from 2014 to my elevate they still haven't shown up help!
62,681448292,neutral,"USER-MENTION USER-MENTION USER-MENTION all are great , but i have to go with carrieunderwood"
63,681448295,neutral,"USER-MENTION USER-MENTION USER-MENTION sorry, mary martin had it first!"
64,681448297,positive,USER-MENTION USER-MENTION USER-MENTION love all three but you really can't beat the classics!
65,681448299,neutral,USER-MENTION flight 0736 dal to dca 2/24 2:10pm. tried to check in could not. status please.
66,681448302,negative,USER-MENTION heyyyy guyyyys been trying to get through for an hour. can someone call me please? :/
67,681448303,negative,"USER-MENTION hi, virgin! i'm on hold for 40-50 minutes -- are there any earlier flights from la to nyc tonight; earlier than 11:50pm?"
68,681448306,positive,USER-MENTION congrats on winning the USER-MENTION award for best deals from an airline (us) URL
69,681448308,negative,USER-MENTION everything was fine until you lost my bag
70,681448310,neutral,USER-MENTION need to change reservation. have virgin credit card. do i need to modify on phone to waive change fee? or can i do online?
71,681448312,neutral,USER-MENTION i emailed your customer service team. let me know if you need the tracking number.
72,681448314,neutral,"USER-MENTION hi i just booked a flight but need to add baggage, how can i do this?"
73,681448317,negative,USER-MENTION your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? URL
74,681448319,positive,"USER-MENTION not worried, it's been a great ride in a new plane with great crew. all airlines should be like this."
75,681448320,positive,USER-MENTION awesome. i flew yall sat morning. any way we can correct my bill ?
76,681448321,neutral,"USER-MENTION or watch some of the best student films in the country at 35,000 feet! cmfat35000feet URL"
77,681448322,neutral,USER-MENTION first time flying you all. do you have a different rate/policy for media bags? thanks
78,681448324,negative,USER-MENTION what is going on with customer service? is there anyway to speak to a human asap? thank you.
79,681448326,neutral,USER-MENTION what happened to doom?!
80,681448329,negative,USER-MENTION why can't you supp the biz traveler like USER-MENTION and have customer service like USER-MENTION neverflyvirginforbusiness
81,681448331,positive,USER-MENTION i've applied more then once to be a member of the inflight crew team im 100% interested. flightattendant dreampath -g
82,681448334,negative,USER-MENTION you're the best!! whenever i (begrudgingly) use any other airline i'm delayed and late flight emo-neg
83,681448336,negative,USER-MENTION i have no interesting flying with you after this. i will cancelled flight my next four flights i planned. neverflyvirginforbusiness
84,681448338,negative,USER-MENTION it was a disappointing experience which will be shared with every business traveler i meet. neverflyvirgin
85,681448340,negative,USER-MENTION i m having trouble adding this flight my wife booked to my elevate account. help? URL
86,681448342,neutral,USER-MENTION can't bring up my reservation online using flight booking problems code
87,681448345,neutral,USER-MENTION random q: what's the distribution of elevate avatars? i bet that kitty has a disproportionate share URL
88,681448347,neutral,USER-MENTION i &lt;3 flying va but life happens and i am trying to change my trip jperhi can you help.va home page will not let me ?
89,681448349,negative,USER-MENTION why is the site down? when will it be back up?
90,681448353,neutral,"USER-MENTION ""you down with rnp?"" ""yeah you know me!"
91,681448355,neutral,"USER-MENTION hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?"
92,681448358,negative,USER-MENTION i like the tv and interesting video . just disappointed in cancelled flightled flight when other flights went out to jfk on saturday .
93,681448360,negative,"USER-MENTION just landed in lax, an hour after i should of been here. your no late flight bag check is not business travel friendly nomorevirgin"
94,681448362,neutral,USER-MENTION why is flight 345 redirected?
95,681448364,negative,"USER-MENTION is it me, or is your website down? btw, your new website isn't a great user experience. time for another redesign."
96,681448366,negative,USER-MENTION i can't check in or add a bag. your website isn't working. i've tried both desktop and mobile URL
97,681448369,negative,USER-MENTION - let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? uncomfortable
98,681448371,negative,USER-MENTION what is your phone number. i can't find who to call about a flight reservation.
99,681448373,negative,USER-MENTION is anyone doing anything there today? website is useless and no one is answering the phone.
100,681448376,neutral,USER-MENTION trying to add my boy prince to my ressie. sf this thursday USER-MENTION from lax URL
101,681448377,negative,USER-MENTION why must a traveler miss a flight to late flight check a bag? i missed my morning appointments and you lost my business. sfo2lax
102,681448379,neutral,USER-MENTION check out new music URL
103,681448382,negative,USER-MENTION how's a direct flight fll-&gt;sfo have unexpected layover in vegas 4 fuel yet peeps next to me bought for vegas flight. sneaky
104,681448383,negative,USER-MENTION your no late flight bag check just lost you my business. i missed flight and am apt. three other people on flight had same exp.
105,681448385,positive,"USER-MENTION - amazing customer service, again! raeann in sf - she's the best! customerservice virginamerica flying"
106,681448387,negative,USER-MENTION called your service line and was hung up on. this is awesome. sarcasm
107,681448389,negative,USER-MENTION your site is tripping. i'm trying to check in and i'm getting the plain text version. i am reluctant to enter any card info.
108,681448391,neutral,USER-MENTION i was scheduled for sfo 2 dal flight 714 today. changed to 24th due weather. looks like flight still on?
109,681448393,positive,"USER-MENTION has getaway deals through may, from $59 one-way. lots of cool cities URL cheapflights farecompare"
110,681448395,neutral,"USER-MENTION has getaway deals through may, from $59 one-way. lots of cool cities URL cheapflights farecompare"
111,681448397,positive,"USER-MENTION has getaway deals through may, from $59 one-way. lots of cool cities URL cheapflights farecompare"
112,681448400,neutral,"USER-MENTION has getaway deals through may, from $59 one-way. lots of cool cities URL cheapflights farecompare"
113,681448402,positive,USER-MENTION have a great week
114,681448404,positive,USER-MENTION come back to phl already. we need you to take us out of this horrible cold. pleasecomeback URL
115,681448406,negative,"USER-MENTION should i be concerned that i am about to fly on a plane that needs to be delayed due to a ""tech stop""?"
116,681448408,positive,"USER-MENTION is the best airline i have flown on.easy to change your reservation,helpful representatives &amp; a comfortable flying experience"
117,681448410,positive,USER-MENTION and again! another rep kicked butt! naelah represents your team so beautifully!! thank you!!!
118,681448413,positive,USER-MENTION your beautiful front-end design is down right now; but it was cool to still book my ticket b/c all your back-end was secure.
119,681448415,positive,"USER-MENTION love the team running gate e9 at las tonight. waited for a delayed flight, and they kept things entertaining"
120,681448419,negative,USER-MENTION use another browser! 2015 &amp; a brand with a reputation built on tech response doesn't have a cross-browser compatible website?
121,681448421,negative,"USER-MENTION and now the flight flight booking problems site is totally down. folks, what is the problem?"
122,681448423,negative,USER-MENTION i like the customer service but a 40 min delay just for connecting passengers seems too long. va370
123,681448426,positive,USER-MENTION thanks to your outstanding nyc-jfk crew who moved mountains to get me home to san francisco tonight!
124,681448429,positive,USER-MENTION you have the absolute best team and customer service ever. every time i fly with you i'm delighted. thank you!
125,681448431,neutral,"USER-MENTION do you provide complimentary upgrades to first class, if there are available seats?"
126,681448432,negative,USER-MENTION i need to change my flight thats scheduled in 9 hours and 120 min wait time on phone. im calling intern. help!!
127,681448433,positive,USER-MENTION completely awesome experience last month bos-las nonstop. thanks for such an awesome flight and depart time. vabeatsjblue
128,681448435,neutral,USER-MENTION how can i watch the oscars2015 on my jfk-&gt;sfo flight?
129,681448437,neutral,USER-MENTION is flight 882 cancelled flightled and what do i do if it is?
130,681448440,negative,USER-MENTION you are failing your customers because your check in process does not link to tsa pre-check.
131,681448442,negative,USER-MENTION USER-MENTION us too! terrible airline! just gave us a hotel hotline number and said sorry
132,681448444,neutral,USER-MENTION has flight number 276 from sfo to cabo san lucas arrived yet?
133,681448446,negative,USER-MENTION USER-MENTION your assistance yesterday when u cancelled flightled our flight was to give us a hotel hotline shame on you!
134,681448448,negative,USER-MENTION another delayed flight? likingyoulessandless
135,681448451,negative,USER-MENTION i need to register a service dog for a first class ticket from sfo &gt; dulles. the phone queue is an hour or longer. pls advise
136,681448453,positive,USER-MENTION you rock for making it so i can watch oscars on my flight!! redcarpet oscars oscars2015
137,681448455,neutral,USER-MENTION USER-MENTION dropped a track on you URL
138,681448457,positive,USER-MENTION always!!! xoxo
139,681448459,negative,USER-MENTION why can't we book seats on your flights when we buy them or even during check in? creates so much anxiety! frustrated
140,681448461,negative,USER-MENTION you'd think paying an extra $100 bucks for luggage might afford you hiring an extra hand at USER-MENTION lame
141,681448464,positive,USER-MENTION best customer service rep in the world! irmafromdallas takes the cake!!!
142,681448466,neutral,USER-MENTION can you find us a flt out of lax that is sooner than midnight on monday? that would be great customer service
143,681448468,negative,USER-MENTION please provide status for flight 769. i cant imagine it's on time as the web indicates dude to weather here and/or dallas
144,681448470,positive,USER-MENTION you have amazing staff &amp; super helpful as i just ran the USER-MENTION princesshalf they have spoiled me with comfort!!!
145,681448471,negative,"USER-MENTION i paid the premium to fly you across the country, you cancelled flight my flight and offer no check fee or upgrade love? sad face emo-neg"
146,681448474,negative,USER-MENTION question: is it not possible to book a seat for an infant under 2? it's not giving me the option but we want a seat for him.
147,681448476,positive,always have it together!!! you're welcome! USER-MENTION USER-MENTION you're so welcome.
148,681448478,positive,USER-MENTION flight home to dc sunset globe in' backtowinter back to work! refreshed URL
149,681448480,negative,.USER-MENTION i don't understand why you need a dm to give me an answer on if you have a damaged luggage policy.
